name,id,nametype,recclass,mass,year,reclat,reclong
Aachen,1,Valid,L5,21,1880-01-01T00:00:00.000,50.775000,6.083330
Aarhus,2,Valid,H6,720,1951-01-01T00:00:00.000,56.183330,10.233330
Abee,6,Valid,EH4,107000,1952-01-01T00:00:00.000,54.216670,-113.000000
Acapulco,10,Valid,Acapulcoite,1914,1976-01-01T00:00:00.000,16.883330,-99.900000
Achiras,370,Valid,L6,780,1902-01-01T00:00:00.000,-33.166670,-64.950000
Adhi Kot,379,Valid,EH4,4239,1919-01-01T00:00:00.000,32.100000,71.800000
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,1949-01-01T00:00:00.000,44.833330,95.166670
Agen,392,Valid,H5,30000,1814-01-01T00:00:00.000,44.216670,0.616670
Aguada,398,Valid,L6,1620,1930-01-01T00:00:00.000,-31.600000,-65.233330
Aguila Blanca,417,Valid,L,1440,1920-01-01T00:00:00.000,-30.866670,-64.550000
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,1974-01-01T00:00:00.000,16.398060,-9.570280
Aïr,424,Valid,L6,24000,1925-01-01T00:00:00.000,19.083330,8.383330
Aire-sur-la-Lys,425,Valid,Unknown,,1769-01-01T00:00:00.000,50.666670,2.333330
Akaba,426,Valid,L6,779,1949-01-01T00:00:00.000,29.516670,35.050000
Akbarpur,427,Valid,H4,1800,1838-01-01T00:00:00.000,29.716670,77.950000
Akwanga,432,Valid,H,3000,1959-01-01T00:00:00.000,8.916670,8.433330
Akyumak,433,Valid,"Iron, IVA",50000,1981-01-01T00:00:00.000,39.916670,42.816670
Al Rais,446,Valid,CR2-an,160,1957-01-01T00:00:00.000,24.416670,39.516670
Al Zarnkh,447,Valid,LL5,700,2001-01-01T00:00:00.000,13.660330,28.960000
Alais,448,Valid,CI1,6000,1806-01-01T00:00:00.000,44.116670,4.083330
Albareto,453,Valid,L/LL4,2000,1766-01-01T00:00:00.000,44.650000,11.016670
Alberta,454,Valid,L,625,1949-01-01T00:00:00.000,2.000000,22.666670
Alby sur Chéran,458,Valid,Eucrite-mmict,252,2002-01-01T00:00:00.000,45.821330,6.015330
Aldsworth,461,Valid,LL5,700,1835-01-01T00:00:00.000,51.783330,-1.783330
Aleppo,462,Valid,L6,3200,1873-01-01T00:00:00.000,36.233330,37.133330
Alessandria,463,Valid,H5,908,1860-01-01T00:00:00.000,44.883330,8.750000
Alexandrovsky,465,Valid,H4,9251,1900-01-01T00:00:00.000,50.950000,31.816670
Alfianello,466,Valid,L6,228000,1883-01-01T00:00:00.000,45.266670,10.150000
Allegan,2276,Valid,H5,32000,1899-01-01T00:00:00.000,42.533330,-85.883330
Allende,2278,Valid,CV3,2000000,1969-01-01T00:00:00.000,26.966670,-105.316670
Almahata Sitta,48915,Valid,Ureilite-an,3950,2008-01-01T00:00:00.000,20.745750,32.412750
Alta'ameem,2284,Valid,LL5,6000,1977-01-01T00:00:00.000,35.273330,44.215560
Ambapur Nagla,2290,Valid,H5,6400,1895-01-01T00:00:00.000,27.666670,78.250000
Andhara,2294,Valid,Stone-uncl,2700,1880-01-01T00:00:00.000,26.583330,85.566670
Andover,2295,Valid,L6,3200,1898-01-01T00:00:00.000,44.616670,-70.750000
Andreevka,2296,Valid,L3,600,1969-01-01T00:00:00.000,48.700000,37.500000
Andura,2298,Valid,H6,17900,1939-01-01T00:00:00.000,20.883330,76.866670
Northwest Africa 5815,50693,Valid,L5,256.8,,0.000000,0.000000
Angers,2301,Valid,L6,,1822-01-01T00:00:00.000,47.466670,-0.550000
Angra dos Reis (stone),2302,Valid,Angrite,1500,1869-01-01T00:00:00.000,-22.966670,-44.316670
Ankober,2304,Valid,H4,6500,1942-01-01T00:00:00.000,9.533330,39.716670
Anlong,2305,Valid,H5,2500,1971-01-01T00:00:00.000,25.150000,105.183330
Aomori,2313,Valid,L6,320,1984-01-01T00:00:00.000,40.810560,140.785560
Appley Bridge,2318,Valid,LL6,15000,1914-01-01T00:00:00.000,53.583330,-2.716670
Apt,2320,Valid,L6,3200,1803-01-01T00:00:00.000,43.866670,5.383330
Arbol Solo,2325,Valid,H5,810,1954-01-01T00:00:00.000,-33.000000,-66.000000
Archie,2329,Valid,H6,5070,1932-01-01T00:00:00.000,38.500000,-94.300000
Arroyo Aguiar,2340,Valid,H5,7450,1950-01-01T00:00:00.000,-31.416670,-60.666670
Asco,2345,Valid,H6,41,1805-01-01T00:00:00.000,42.450000,9.033330
Ash Creek,48954,Valid,L6,9500,2009-01-01T00:00:00.000,31.805000,-97.010000
Ashdon,2346,Valid,L6,1300,1923-01-01T00:00:00.000,52.050000,0.300000
Assisi,2353,Valid,H5,2000,1886-01-01T00:00:00.000,43.033330,12.550000
Atarra,4883,Valid,L4,1280,1920-01-01T00:00:00.000,25.254170,80.625000
Atemajac,4884,Valid,L6,94.2,1896-01-01T00:00:00.000,20.066670,-103.666670
Athens,4885,Valid,LL6,265,1933-01-01T00:00:00.000,34.750000,-87.000000
Atoka,4888,Valid,L6,1384.2,1945-01-01T00:00:00.000,34.316670,-96.150000
Aubres,4893,Valid,Aubrite,800,1836-01-01T00:00:00.000,44.383330,5.166670
Aumale,4899,Valid,L6,50000,1865-01-01T00:00:00.000,36.166670,3.666670
Aumieres,4900,Valid,L6,2000,1842-01-01T00:00:00.000,44.333330,3.233330
Ausson,4903,Valid,L5,50000,1858-01-01T00:00:00.000,43.083330,0.583330
Avanhandava,4905,Valid,H4,9330,1952-01-01T00:00:00.000,-21.460280,-49.950830
Avce,4906,Valid,"Iron, IIAB",1230,1908-01-01T00:00:00.000,46.000000,13.500000
Avilez,4907,Valid,H,146,1855-01-01T00:00:00.000,25.000000,-103.500000
Awere,4910,Valid,L4,134,1968-01-01T00:00:00.000,2.716670,32.833330
Aztec,4913,Valid,L6,2830,1938-01-01T00:00:00.000,36.800000,-108.000000
Bachmut,4917,Valid,L6,18000,1814-01-01T00:00:00.000,48.600000,38.000000
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322,1934-01-01T00:00:00.000,28.483330,78.500000
Bald Mountain,4925,Valid,L4,3700,1929-01-01T00:00:00.000,35.966670,-82.483330
Baldwyn,4926,Valid,L6,345,1922-01-01T00:00:00.000,34.500000,-88.666670
Bali,4928,Valid,CV3,1000,1907-01-01T00:00:00.000,5.383330,16.383330
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700,1993-01-01T00:00:00.000,16.666670,101.183330
Bandong,4935,Valid,LL6,11500,1871-01-01T00:00:00.000,-6.916670,107.600000
Bansur,4936,Valid,L6,15000,1892-01-01T00:00:00.000,27.700000,76.333330
Banswal,4937,Valid,L5,14,1913-01-01T00:00:00.000,30.400000,78.200000
Banten,4938,Valid,CM2,629,1933-01-01T00:00:00.000,-6.333330,106.000000
Barbotan,4942,Valid,H5,6400,1790-01-01T00:00:00.000,43.950000,-0.050000
Barcelona (stone),4944,Valid,OC,,1704-01-01T00:00:00.000,41.366670,2.166670
Barea,4946,Valid,Mesosiderite-A1,3200,1842-01-01T00:00:00.000,42.383330,-2.500000
Barnaul,4947,Valid,H5,23.2,1904-01-01T00:00:00.000,52.733330,84.083330
Barntrup,4948,Valid,LL4,17,1886-01-01T00:00:00.000,52.000000,9.100000
Baroti,4949,Valid,L6,4500,1910-01-01T00:00:00.000,31.616670,76.800000
Barwell,4954,Valid,L5,44000,1965-01-01T00:00:00.000,52.565280,-1.339720
Bassikounou,44876,Valid,H5,29560,2006-01-01T00:00:00.000,15.783330,-5.900000
Baszkówka,4957,Valid,L5,15500,1994-01-01T00:00:00.000,52.033330,20.935830
Bath,4974,Valid,H4,21000,1892-01-01T00:00:00.000,45.416670,-98.316670
Bath Furnace,4975,Valid,L6,86000,1902-01-01T00:00:00.000,38.250000,-83.750000
Battle Mountain,56133,Valid,L6,2900,2012-01-01T00:00:00.000,40.668130,-117.189130
Bawku,4976,Valid,LL5,1557,1989-01-01T00:00:00.000,11.083330,-0.183330
Baxter,4977,Valid,L6,611,1916-01-01T00:00:00.000,36.750000,-93.500000
Beardsley,4984,Valid,H5,16000,1929-01-01T00:00:00.000,39.800000,-101.200000
Beaver Creek,4986,Valid,H5,14000,1893-01-01T00:00:00.000,51.166670,-117.333330
Beddgelert,4993,Valid,H5,794,1949-01-01T00:00:00.000,53.016670,-4.100000
Bells,5005,Valid,C2-ung,375,1961-01-01T00:00:00.000,33.600000,-96.466670
Belville,5009,Valid,OC,,1937-01-01T00:00:00.000,-32.333330,-64.866670
Benares (a),5011,Valid,LL4,3700,1798-01-01T00:00:00.000,25.366670,82.916670
Benguerir,30443,Valid,LL6,25000,2004-01-01T00:00:00.000,32.250000,-8.150000
Beni M'hira,5018,Valid,L6,19000,2001-01-01T00:00:00.000,32.866670,10.800000
Benld,5021,Valid,H6,1770.5,1938-01-01T00:00:00.000,39.083330,-89.150000
Benoni,5023,Valid,H6,3880,1943-01-01T00:00:00.000,-26.166670,28.416670
Bensour,5024,Valid,LL6,45000,2002-01-01T00:00:00.000,30.000000,-7.000000
Benton,5026,Valid,LL6,2840,1949-01-01T00:00:00.000,45.950000,-67.550000
Berduc,48975,Valid,L6,270,2008-01-01T00:00:00.000,-31.910000,-58.328330
Béréba,5028,Valid,Eucrite-mmict,18000,1924-01-01T00:00:00.000,11.650000,-3.650000
Berlanguillas,5029,Valid,L6,1440,1811-01-01T00:00:00.000,41.683330,-3.800000
Berthoud,47355,Valid,Eucrite-mmict,960,2004-01-01T00:00:00.000,40.305830,-105.023250
Bethlehem,5032,Valid,H,13.9,1859-01-01T00:00:00.000,42.533330,-73.833330
Beuste,5034,Valid,L5,2000,1859-01-01T00:00:00.000,43.216670,-0.233330
Beyrout,5035,Valid,LL3.8,1100,1921-01-01T00:00:00.000,33.883330,35.500000
Bhagur,5037,Valid,L6,18,1877-01-01T00:00:00.000,20.883330,74.833330
Bhawad,36591,Valid,LL6,678,2002-01-01T00:00:00.000,26.508330,73.115280
Bherai,5039,Valid,L6,100,1893-01-01T00:00:00.000,20.833330,71.466670
Bhola,5040,Valid,LL3-6,1047,1940-01-01T00:00:00.000,22.683330,90.650000
Bholghati,5041,Valid,Howardite,2500,1905-01-01T00:00:00.000,22.083330,86.900000
Bialystok,5042,Valid,Eucrite-pmict,4000,1827-01-01T00:00:00.000,53.100000,23.200000
Bielokrynitschie,5043,Valid,H4,1900,1887-01-01T00:00:00.000,50.133330,27.166670
Bilanga,5045,Valid,Diogenite,25000,1999-01-01T00:00:00.000,12.450000,-0.083330
Binningup,5051,Valid,H5,488.1,1984-01-01T00:00:00.000,-33.156390,115.676390
Birni N'konni,5056,Valid,H4,560,1923-01-01T00:00:00.000,13.766670,5.300000
Bishopville,5059,Valid,Aubrite,6000,1843-01-01T00:00:00.000,34.166670,-80.283330
Bishunpur,5060,Valid,LL3.15,1039,1895-01-01T00:00:00.000,25.383330,82.600000
Bjelaja Zerkov,5063,Valid,H6,1850,1796-01-01T00:00:00.000,49.783330,30.166670
Bjurböle,5064,Valid,L/LL4,330000,1899-01-01T00:00:00.000,60.400000,25.800000
Black Moshannan Park,5065,Valid,L5,705,1941-01-01T00:00:00.000,40.916670,-78.083330
Blackwell,5068,Valid,L5,2381,1906-01-01T00:00:00.000,36.833330,-97.333330
Blanket,5071,Valid,L6,5100,1909-01-01T00:00:00.000,31.833330,-98.833330
Blansko,5072,Valid,H6,470,1833-01-01T00:00:00.000,49.366670,16.633330
Bloomington,5076,Valid,LL6,67.8,1938-01-01T00:00:00.000,40.480000,-89.004170
Bo Xian,5090,Valid,LL3.9,7500,1977-01-01T00:00:00.000,33.833330,115.833330
Bocas,5093,Valid,L6,56,1804-01-01T00:00:00.000,23.000000,-102.000000
Bogou,5097,Valid,"Iron, IAB-MG",8800,1962-01-01T00:00:00.000,12.500000,0.700000
Boguslavka,5098,Valid,"Iron, IIAB",256000,1916-01-01T00:00:00.000,44.550000,131.633330
Borgo San Donino,5110,Valid,LL6,1676,1808-01-01T00:00:00.000,44.866670,10.050000
Bori,5111,Valid,L6,8600,1894-01-01T00:00:00.000,21.950000,78.033330
Boriskino,5112,Valid,CM2,1342,1930-01-01T00:00:00.000,54.233330,52.483330
Borkut,5113,Valid,L5,7000,1852-01-01T00:00:00.000,48.150000,24.283330
Borodino,5114,Valid,H5,500,1812-01-01T00:00:00.000,55.466670,35.866670
Botschetschki,5117,Valid,L4,614,1823-01-01T00:00:00.000,51.333330,33.883330
Boumdeid (2003),57168,Valid,L6,190,2003-01-01T00:00:00.000,17.710670,-11.371500
Boumdeid (2011),57167,Valid,L6,3599,2011-01-01T00:00:00.000,17.174930,-11.341330
Bovedy,5121,Valid,L3,5460,1969-01-01T00:00:00.000,54.566670,-6.333330
Bradford Woods,5128,Valid,L,762,1886-01-01T00:00:00.000,40.500000,-80.083330
Braunau,5133,Valid,"Iron, IIAB",39000,1847-01-01T00:00:00.000,50.600000,16.300000
Breitscheid,5134,Valid,H5,1500,1956-01-01T00:00:00.000,50.666940,8.183610
Bremervörde,5135,Valid,H/L3.9,7250,1855-01-01T00:00:00.000,53.400000,9.100000
Brient,5140,Valid,Eucrite-pmict,219,1933-01-01T00:00:00.000,52.133330,59.316670
Bruderheim,5156,Valid,L6,303000,1960-01-01T00:00:00.000,53.900000,-112.883330
